Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle,affiliation,Processed,Sentiment,Certainty
O-Ton,2023-05-10,tagesthemen,"(Es ""geht darum, diese Glaubwürdigkeit wieder herzustellen - das tun wir durch diegenannten Maßnahmen. Es ist heute im Bundestag von dem Generalsekretär Union gesagt worden, unterdem Vorwand der Aufklärung der Trauzeugenaffäre ... 'Wir nutzen das nur, um das Gesetz zur Wärmewendezu bekämpfen.' Das hat er wörtlich so gesagt oder fast wirklich so gesagt. Und sie starten morgen eineKampagne gegen das Gesetz. Und insofern ist also auch der Vorwurf der Union immer an der Frage auchwas wird hier eigentlich miteinander vermengt?"")",diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Allein Umfragewerte zeigen, dass das zu schwinden scheint",Die Grünen,allein umfragewert zeigen schwinden scheinen,positive,0.9999852180480957
O-Ton,2023-07-06,tagesthemen,"(Wir hätten das als Ampel-Fraktion sehr gernegemacht, weil aus unserer Sicht notwendig ist, dass die Menschen in diesem Land Klarheit bekommen,darüber, was ab dem 01.01.2024, wenn das Gesetz in Kraft tritt, auch für sie gilt)",Fraktionsvorsitzende Bündnis 90/Die Grünen,Katharina Dröge,sei es jedoch Zeit fuer eine Neuauflage des Gesetzes.,Die Grünen,jedoch Zeit Fuer Neuauflage Gesetz,positive,0.999984622001648
O-Ton,2023-03-28,tagesthemen,"(zur Möglichkeit von Kompensationszahlungen, wenn durch Baumaßnahmen in Natur undLandschaft eingegriffen wird: ""Das bedeutet, dass es in Zukunft eine Agentur geben soll, die eineVerantwortung dafür hat, gemeinsam zu schauen, welche Fläche kann eigentlich bestmöglich genutztwerden. Das heißt, das Prinzip, wenn ich einen bestimmten Bau vornehme, ich gleichzeitig einen Ausgleichleisten muss und dass das über Flächen gelingt, das bleibt weiterhin ... Klimaschutz, Naturschutz wird durchdiese Vereinbarung ganz klar gestärkt"")",wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,Stattdessen sollen jetzt auch Geldzahlungen fliessen koennen.,Die Grünen,stattdessen sollen geldzahlung Fliesse Koenn,positive,0.9999843835830688
Sachinhalt,2023-05-12,tagesthemen,"Die AfD gewinnt in Umfragen wieder deutlich an Zustimmung - trotz und gerade wegen ihrer radikalen Positionen. Sie profitiert von der Verunsicherung, die gesellschaftliche und politische Veränderungen mit sich bringen. Ihr Hauptgegner sind dabei die Grünen. Bildinhalt 15.11.2023 09:50 Seite 15 von 57 NDR Copyright (c) 2004",Moderation,Aline Abboud,ist fuer die AfD ein bemerkenswertes Bild:,ARD,Fuer afd bemerkenswert Bild,negative,0.9876184463500977
Sachinhalt,2023-07-14,tagesschau,"Sommerpressekonferenz (Sommer-Pressekonferenz) von Olaf Scholz, Bundeskanzler/SPD, in Berlin zu aktuellen Themen der Innen- und Außenpolitik. O-Ton",Moderation,Susanne Daubner,"ist ein guter Weg, Deutschland nach vorne zu bringen.",ARD,gut Weg Deutschland vorne bringen,negative,0.9697099924087524
Sachinhalt,2023-05-30,tagesthemen,Der Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) zu mehr Klimaschutz in Gebäuden hat in der Regierungskoalition und darüber hinaus in den vergangenen Wochen für reichlich Ärger gesorgt. Nun zeigt sich der Bundeswirtschaftsminister bei wichtigen Stellschrauben gesprächsbereit und will mit seinen Koalitionskollegen Kompromisslinien ausarbeiten. Bildinhalt,Moderation,Caren Miosga,Fuer Haertefaelle koennte es mehr Ausnahmen geben.,ARD,Fuer Haertefaelle koennen mehr Ausnahme geben,negative,0.9664132595062256
Sachinhalt,2023-05-30,tagesthemen,Der Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) zu mehr Klimaschutz in Gebäuden hat in der Regierungskoalition und darüber hinaus in den vergangenen Wochen für reichlich Ärger gesorgt. Nun zeigt sich der Bundeswirtschaftsminister bei wichtigen Stellschrauben gesprächsbereit und will mit seinen Koalitionskollegen Kompromisslinien ausarbeiten. Bildinhalt,Moderation,Caren Miosga,Fernwaerme koennte mehr in den Fokus ruecken.,ARD,fernwaerm koennen mehr Fokus ruecken,negative,0.9520476460456848
O-Ton,2023-05-22,tagesschau,Aufsager,Korrespondent,Kirsten Girschick,"Eine sehr kurze Zeit, um die offenen Streitfragen zu klaeren.",ARD,kurz Zeit offen streitfragen klaeren,negative,0.9380391240119934
Sachinhalt,2023-05-12,tagesthemen,"Die AfD gewinnt in Umfragen wieder deutlich an Zustimmung - trotz und gerade wegen ihrer radikalen Positionen. Sie profitiert von der Verunsicherung, die gesellschaftliche und politische Veränderungen mit sich bringen. Ihr Hauptgegner sind dabei die Grünen. Bildinhalt 15.11.2023 09:50 Seite 15 von 57 NDR Copyright (c) 2004",Moderation,Aline Abboud,"Sie wollen Autofahren fuer Menschen unbezahlbar machen,",ARD,autofahren Fuer Mensch unbezahlbar,negative,0.8763323426246643
Sachinhalt,2023-04-19,tagesthemen,"Die Bundesregierung hat sich auf eine Novelle des Gebäudeenergiegesetzes geeinigt und damit die Umstellung von Heizungen auf Erneuerbare Energien gebilligt. Von 2024 an sollen alle neu eingebauten Heizungen zu mindestens 65 Prozent mit erneuerbaren Energien betrieben werden. Die Vorschriften werden zur Vermeidung sozialer Härten von Ausnahmen, Übergangsregelungen und Förderungsmöglichkeiten flankiert. Der Koalitionspartner FDP erwartet schon jetzt Änderungen am Gesetzentwurf, Kritik kommt von der Opposition. Bildinhalt",Moderation,Aline Abboud,Ab 2024 soll moeglichst jede neue Heizung,ARD,ab 2024 sollen Moeglichst neu Heizung,negative,0.8054935336112976
Sachinhalt,2023-05-22,tagesschau,"Philipp Nimmermann wird neuer Staatssekretär im Bundeswirtschaftsministerium. Bundeswirtschaftsminister Robert Habeck lobte Nimmermann als erfahrenen Staatssekretär mit ökonomischer Expertise und viel Verwaltungserfahrung, der die Energiewende, die Wärmewende und die Transformation voranbringen werde. Derweil geht der Streit innerhalb der Regierungskoalition über das Gebäudeenergiegesetz (Heizungsgesetz) weiter. Die FDP kritisiert, der Entwurf sei nicht praxistauglich und besteht auf einer grundlegenden Überarbeitung. Bildinhalt",Moderation,Jens Riewa,"Alle Streitpunkte koenne man im Parlament klaeren,",ARD,Streitpunkt koennen Parlament klaeren,negative,0.7326489090919495
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,Lindner beraet sich mit seinen Leuten - gut gelaunt.,ARD,Lindner beraeen Leute   gut gelaunt,negative,0.5192463397979736
Sachinhalt,2023-06-30,tagesthemen,"Nach monatelangem Streit in der Regierungskoalition liegt der überarbeitete Entwurf des Gebäudeenergiegesetzes (Heizungsgesetzes) vor. Damit kann der Bundestag in der kommenden Woche darüber abstimmen. Das Gesetz soll sicherstellen, dass Haushalte langfristig von Öl und Gas auf klimafreundlichere Heizungen umsteigen. Bildinhalt",Moderation,Caren Miosga,"Das, auf was wir uns verstaendigt haben,",ARD,wer verstaendigen,negative,0.4838777780532837
Sachinhalt,2023-06-19,tagesthemen,"Politikwissenschaftlerin Astrid Seville schätzt die Rhetorik des bayerischen Ministerpräsidenten Markus Söder (CSU) in aktuellen Landtagswahlkampf ein. In der Vergangenheit war Söder mit lauten Attacken gegenüber der Bundesregierung und ihrer Politik aufgefallen. Wegen ihrer Teilnahme an einer Demonstration in Erding, an der auch Querdenker und AfD-Anhänger teilnahmen, stehen Markus Söder und Vize-Ministerpräsident Hubert Aiwanger (Freie Wähler) in der Kritik. Insbesondere Aiwanger wird dafür kritisiert, die Wortwahl der AfD benutzt zu haben. 15.11.2023 09:50 Seite 38 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"hat nichts mit AfD, hat nichts mit Antidemokraten zu tun.",ARD,afd Antidemokrat tun,neutral,0.9946775436401367
Sachinhalt,2023-04-19,tagesschau,"Die Bundesregierung hat sich auf eine Novelle des Gebäudeenergiegesetzes geeinigt und damit die Umstellung von Heizungen auf Erneuerbare Energien gebilligt. Von 2024 an sollen alle neu eingebauten Heizungen zu mindestens 65 Prozent mit erneuerbaren Energien betrieben werden. Die Vorschriften werden zur Vermeidung sozialer Härten von Ausnahmen, Übergangsregelungen und Förderungsmöglichkeiten flankiert. Der Koalitionspartner FDP erwartet schon jetzt Änderungen am Gesetzentwurf, Kritik kommt von der Opposition. Bildinhalt",Moderation,Thorsten Schröder,muessen nicht ausgetauscht werden und defekte koennen repariert werden.,ARD,muessen austauschen defekt Koenn reparieren,neutral,0.9946163296699524
Sachinhalt,2023-05-12,tagesthemen,"Die AfD gewinnt in Umfragen wieder deutlich an Zustimmung - trotz und gerade wegen ihrer radikalen Positionen. Sie profitiert von der Verunsicherung, die gesellschaftliche und politische Veränderungen mit sich bringen. Ihr Hauptgegner sind dabei die Grünen. Bildinhalt 15.11.2023 09:50 Seite 15 von 57 NDR Copyright (c) 2004",Moderation,Aline Abboud,gab es noch nie - wegen Weidel.,ARD,geben nie   wegen Weidel,neutral,0.9933938384056091
Sachinhalt,2023-05-07,tagesschau,Bündnis 90/Die Grünen befinden sich derzeit im Umfragetief. Im letzten Deutschlandtrend lag die Partei bei 16 Prozent. Zuletzt gab es viel Kritik am Heizungsgesetz oder an vermeintlicher Vetternwirtschaft im grün geführten Bundeswirtschaftsministerium. Bildinhalt,Moderation,Constantin Schreiber,"belastet nicht nur Habeck, sondern die ganze Partei.",ARD,belasten Habeck ganz Partei,neutral,0.9926021695137024
Sachinhalt,2023-05-12,tagesthemen,"Die AfD gewinnt in Umfragen wieder deutlich an Zustimmung - trotz und gerade wegen ihrer radikalen Positionen. Sie profitiert von der Verunsicherung, die gesellschaftliche und politische Veränderungen mit sich bringen. Ihr Hauptgegner sind dabei die Grünen. Bildinhalt 15.11.2023 09:50 Seite 15 von 57 NDR Copyright (c) 2004",Moderation,Aline Abboud,Setzt auch bei anderen Themen den Ton: bloss keine Veraenderung.,ARD,setzen Thema Ton Bloss Veraenderung,neutral,0.9911677837371826
O-Ton,2023-06-30,tagesschau,Aufsager,Korrespondent,Iris Sayram,"Die Zahlen muessen runter, die sind zu hoch.",ARD,Zahl muessen Runter hoch,neutral,0.977831244468689
Sachinhalt,2023-05-23,tagesschau,"Die Regierungsfraktionen von SPD, Bündnis 90/Die Grünen und FDP haben die Einbringung des Gebäudeenergiegesetzes (Heizungsgesetzes) in den Bundestag verschoben. Hintergrund sind grundsätzliche Bedenken der FDP. Der Koalitionspartner besteht - anders als SPD und Grüne - auf eine grundsätzliche Überarbeitung des Gesetzentwurfs. Damit sinkt die Wahrscheinlichkeit, dass das Gesetz - wie ursprünglich geplant - noch vor der parlamentarischen Sommerpause verabschiedet wird. O-Ton",Moderation,Judith Rakers,Eigentlich soll ab 2024 jede neue Heizung,ARD,eigentlich sollen ab 2024 neu Heizung,neutral,0.9770762324333191
Sachinhalt,2023-05-18,tagesthemen,Wegen personeller Probleme im Bundeswirtschaftsministerium nach der Affäre um den ehemaligen Wirtschaftsstaatssekretär Patrick Graichen (Bündnis 90/Die Grünen) fordert die FDP eine Verlängerung des Zeitplans für das geplante Heizungsgesetz von Bundeswirtschaftsminister Robert Habeck (Bündnis 90/Die Grünen). SPD und Bündnis 90/Die Grünen wollen das Gesetz bis zur Sommerpause verabschieden. Bildinhalt,Moderation,Caren Miosga,kann den ÈArger wohl noch nicht hinter sich lassen.,ARD,èarger wohl lassen,neutral,0.9770566821098328
Sachinhalt,2023-05-23,tagesthemen,"Die Regierungsfraktionen von SPD, Bündnis 90/Die Grünen und FDP haben die Einbringung des Gebäudeenergiegesetzes (Heizungsgesetzes) in den Bundestag verschoben. Hintergrund sind grundsätzliche Bedenken der FDP. Der Koalitionspartner besteht - anders als SPD und Grüne - auf eine grundsätzliche Überarbeitung des Gesetzentwurfs. Damit sinkt die Wahrscheinlichkeit, dass das Gesetz - wie ursprünglich geplant - noch vor der parlamentarischen Sommerpause verabschiedet wird. O-Ton",Moderation,Helge Fuhst,besser nicht regieren als mit der FDP?,ARD,gut regieren FDP,neutral,0.9722779393196106
O-Ton,2023-05-22,tagesschau,Aufsager,Korrespondent,Kirsten Girschick,"Geht das Gesetz nicht diese Woche in die erste Lesung,",ARD,gehen Gesetz Woche erster Lesung,neutral,0.9691135287284851
Sachinhalt,2023-06-19,tagesthemen,"Politikwissenschaftlerin Astrid Seville schätzt die Rhetorik des bayerischen Ministerpräsidenten Markus Söder (CSU) in aktuellen Landtagswahlkampf ein. In der Vergangenheit war Söder mit lauten Attacken gegenüber der Bundesregierung und ihrer Politik aufgefallen. Wegen ihrer Teilnahme an einer Demonstration in Erding, an der auch Querdenker und AfD-Anhänger teilnahmen, stehen Markus Söder und Vize-Ministerpräsident Hubert Aiwanger (Freie Wähler) in der Kritik. Insbesondere Aiwanger wird dafür kritisiert, die Wortwahl der AfD benutzt zu haben. 15.11.2023 09:50 Seite 38 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Ein Leben ohne Schweinebraten mag moeglich sein, aber nicht sinnvoll.",ARD,Leben schweinebraten mögen moeglich sinnvoll,neutral,0.9680348634719849
Sachinhalt,2023-07-06,tagesthemen,"Ellen Ehni präsentiert im Deutschlandtrend Ergebnisse von Meinungsumfragen des Instituts infratest dimap zu folgenden Themen: - Gebäudeenergiegesetz (Heizungsgesetz); - Sonntagsfrage Bundestagswahl; - Verhältnisse in Deutschland geben Anlass zur Zuversicht/zur Beunruhigung""; - Aussagen zur AfD. Bildinhalt",Moderation,Helge Fuhst,Fuer jeden zweiten FDP-Anhaenger geht das Gesetz schon jetzt zu weit.,ARD,Fuer zweiter Fdpanhaenger gehen Gesetz schon weit,neutral,0.9669577479362488
Sachinhalt,2023-03-31,tagesthemen,Die Ampelkoalition hat beim umstrittenen Gebäudeenergiegesetz mit dem Verbot des Einbaus neuer Gas- und Ölheizungen einen Kompromiss erzielt. Der Entwurf für das Gebäudeenergiegesetz verzichtet aber auf die ursprünglich vorgesehene Austauschpflicht für funktionierende Öl- und Gasheizungen. Bildinhalt,Moderation,Aline Abboud,"muss eine noch aeltere Heizung nicht austauschen,",ARD,aelt Heizung austauschen,neutral,0.9615201950073242
Sachinhalt,2023-06-11,tagesschau,Die Regierungskoalition sucht weiter nach einem Kompromiss im Streit über das geplante Gebäudeenergiegesetz (Heizungsgesetz). Bildinhalt,Moderation,Constantin Schreiber,Ein Hotel im Bayerischen Wald mit hohem Energiebedarf.,ARD,Hotel bayerisch Wald hoch Energiebedarf,neutral,0.9553855657577515
Sachinhalt,2023-07-14,tagesschau,"Sommerpressekonferenz (Sommer-Pressekonferenz) von Olaf Scholz, Bundeskanzler/SPD, in Berlin zu aktuellen Themen der Innen- und Außenpolitik. O-Ton",Moderation,Susanne Daubner,* Ihre Regierungszeit ist in gut zwei Jahren eventuell vorbei ... *,ARD,  Regierungszeit gut zwei Jahr eventuell vorbei  ,neutral,0.949782133102417
Sachinhalt,2023-06-19,tagesthemen,"Politikwissenschaftlerin Astrid Seville schätzt die Rhetorik des bayerischen Ministerpräsidenten Markus Söder (CSU) in aktuellen Landtagswahlkampf ein. In der Vergangenheit war Söder mit lauten Attacken gegenüber der Bundesregierung und ihrer Politik aufgefallen. Wegen ihrer Teilnahme an einer Demonstration in Erding, an der auch Querdenker und AfD-Anhänger teilnahmen, stehen Markus Söder und Vize-Ministerpräsident Hubert Aiwanger (Freie Wähler) in der Kritik. Insbesondere Aiwanger wird dafür kritisiert, die Wortwahl der AfD benutzt zu haben. 15.11.2023 09:50 Seite 38 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Weil er versteht, das sagen Forscher der Politikwissenschaft unisono,",ARD,verstehen sagen Forscher Politikwissenschaft unisono,positive,0.9999912977218628
Sachinhalt,2023-07-14,tagesthemen,"Sommerpressekonferenz (Sommer-Pressekonferenz) von Olaf Scholz, Bundeskanzler/SPD, in Berlin zu aktuellen Themen der Innen- und Außenpolitik. Bildinhalt",Moderation,Caren Miosga,Etwa vom oeffentlich ausgetragenen Streit ueber das Heizungsgesetz.,ARD,etwa oeffentlich ausgetragen Streit ueber Heizungsgesetz,positive,0.9999911785125732
Sachinhalt,2023-05-15,tagesschau,"Reaktionen der Bundesparteien zum Wahlausgang der Bürgerschaftswahl in Bremen. Die SPD von Bürgermeister Andreas Bovenschulte hat nach aktueller Hochrechnung mit 30,1 Prozent einen deutlichen Sieg errungen. Die CDU landete mit 25 Prozent auf dem zweiten Platz, die mitregierenden Bündnis 90/Die Grünen mussten deutliche Verluste einstecken, die Linke blieb stabil und die FDP schaffte die Fünf-Prozent- Hürde. Bildinhalt",Moderation,Julia-Niharika Sen,sie zieht erneut in die Bremer Buergerschaft ein.,ARD,ziehen erneut Bremer Buergerschaft,positive,0.9999910593032837
Sachinhalt,2023-05-23,tagesthemen,"Die Regierungsfraktionen von SPD, Bündnis 90/Die Grünen und FDP haben die Einbringung des Gebäudeenergiegesetzes (Heizungsgesetzes) in den Bundestag verschoben. Hintergrund sind grundsätzliche Bedenken der FDP. Der Koalitionspartner besteht - anders als SPD und Grüne - auf eine grundsätzliche Überarbeitung des Gesetzentwurfs. Damit sinkt die Wahrscheinlichkeit, dass das Gesetz - wie ursprünglich geplant - noch vor der parlamentarischen Sommerpause verabschiedet wird. O-Ton",Moderation,Helge Fuhst,Bei der Pflegereform hat sich die Ampel aber offenbar,ARD,Pflegereform Ampel offenbar,positive,0.9999910593032837
O-Ton,2023-04-19,tagesschau,Aufsager,Korrespondent,Justus Kliss,Alle profitieren - kleine Wohnungsbesitzer und Millionaere.,ARD,profitier   klein Wohnungsbesitzer millionaere,positive,0.9999909400939941
Sachinhalt,2023-05-15,tagesschau,"Reaktionen der Bundesparteien zum Wahlausgang der Bürgerschaftswahl in Bremen. Die SPD von Bürgermeister Andreas Bovenschulte hat nach aktueller Hochrechnung mit 30,1 Prozent einen deutlichen Sieg errungen. Die CDU landete mit 25 Prozent auf dem zweiten Platz, die mitregierenden Bündnis 90/Die Grünen mussten deutliche Verluste einstecken, die Linke blieb stabil und die FDP schaffte die Fünf-Prozent- Hürde. Bildinhalt",Moderation,Julia-Niharika Sen,Mit seiner buergernahen Politik war Bovenschulte erfolgreich.,ARD,buergernah Politik Bovenschulte erfolgreich,positive,0.9999909400939941
Sachinhalt,2023-06-10,tagesschau,In Erding haben mehrere tausend Menschen gegen das geplante Heizungsgesetz der Bundesregierung demonstriert. Unabhängig von den Organisatoren hatte auch die AfD zur Teilnahme aufgerufen. Von ihnen durfte bei der Veranstaltung allerdings niemand auftreten. Hauptredner war der bayerische Ministerpräsident Markus Söder. Er wurde mit Protestrufen empfangen. Bildinhalt,Moderation,Susanne Daubner,Neben der Festwiese organisierte sie eine Kundgebung.,ARD,neben Festwiese organisieren Kundgebung,positive,0.9999908208847046
Sachinhalt,2023-04-19,tagesthemen,"Die Bundesregierung hat sich auf eine Novelle des Gebäudeenergiegesetzes geeinigt und damit die Umstellung von Heizungen auf Erneuerbare Energien gebilligt. Von 2024 an sollen alle neu eingebauten Heizungen zu mindestens 65 Prozent mit erneuerbaren Energien betrieben werden. Die Vorschriften werden zur Vermeidung sozialer Härten von Ausnahmen, Übergangsregelungen und Förderungsmöglichkeiten flankiert. Der Koalitionspartner FDP erwartet schon jetzt Änderungen am Gesetzentwurf, Kritik kommt von der Opposition. Bildinhalt",Moderation,Aline Abboud,Mit dem umstrittenen Heizungsgesetz soll sich das aendern:,ARD,umstritten Heizungsgesetz sollen aendern,positive,0.999990701675415
Sachinhalt,2023-05-30,tagesthemen,Der Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) zu mehr Klimaschutz in Gebäuden hat in der Regierungskoalition und darüber hinaus in den vergangenen Wochen für reichlich Ärger gesorgt. Nun zeigt sich der Bundeswirtschaftsminister bei wichtigen Stellschrauben gesprächsbereit und will mit seinen Koalitionskollegen Kompromisslinien ausarbeiten. Bildinhalt,Moderation,Caren Miosga,den Beginn der Beratungen ueber das Gebaeudeenergiegesetz blockierten.,ARD,Beginn Beratung ueber Gebaeudeenergiegesetz blockieren,positive,0.999990701675415
Sachinhalt,2023-09-10,tagesschau,"ARD-Sommerinterview und Format ""Frag selbst"" mit AfD-Bundessprecherin Alice Weidel. Bildinhalt",Moderation,Constantin Schreiber,In Muenchen endete heute die Auto- und Mobilitaetsmesse IAA.,ARD,muench enden heute Auto mobilitaetsmeß iaa,positive,0.999990701675415
O-Ton,2023-04-19,tagesschau,Aufsager,Korrespondent,Justus Kliss,Bei der Grundfoerderung nutzt die Ampel das Giesskannenprinzip:,ARD,Grundfoerderung nutzen Ampel Giesskannenprinzip,positive,0.9999905824661255
Sachinhalt,2023-06-15,tagesthemen,"Der Bundestag hat in erster Lesung über das Gebäudeenergiegesetz (GEG), das sogenannte Heizungsgesetz, der Bundesregierung. SPD, Bündnis 90/Die Grünen und FDP hatten sich erst vor zwei Tagen auf einen Kompromiss mit zahlreichen Änderungen an dem ursprünglichen Entwurf geeinigt. Bildinhalt",Moderation,Caren Miosga,"V.a., dass eine kommunale Waermeplanung mit einbezogen wird.",ARD,va kommunal Waermeplanung einbeziehen,positive,0.9999905824661255
Sachinhalt,2023-07-14,tagesthemen,"Sommerpressekonferenz (Sommer-Pressekonferenz) von Olaf Scholz, Bundeskanzler/SPD, in Berlin zu aktuellen Themen der Innen- und Außenpolitik. Bildinhalt",Moderation,Caren Miosga,Kurz vor der Sommerpause hatte sich die Ampel geeinigt.,ARD,kurz Sommerpause Ampel,positive,0.9999905824661255
Sachinhalt,2023-04-02,tagesschau,"Nachdem die Ampel-Koalition einen Kompromiss beim umstrittenen Gebäudeenergiegesetz mit dem Verbot des Einbaus neuer Gas- und Ölheizungen bekannt gegeben hat, arbeitet sie jetzt an einem Förderprogramm. Laut Bundesfinanzministerium soll es eine Art Abwrackprämie für alte Anlagen geben, deren Höhe vom Zustand der Anlage abhängig sein soll. Im ""Bericht aus Berlin"" nannte Bundeswirtschaftsminister Robert Habeck weitere Möglichkeiten, wie die finanzielle Entlastung gestaltet werden kann. Bildinhalt",Moderation,Jens Riewa,Im ZDF bringt Bundesbauministerin Geywitz eine Abwrackpraemie ins Spiel.,ARD,Zdf bringen Bundesbauministerin Geywitz Abwrackpraemie Spiel,positive,0.9999904632568359
Sachinhalt,2023-04-02,tagesschau,"Nachdem die Ampel-Koalition einen Kompromiss beim umstrittenen Gebäudeenergiegesetz mit dem Verbot des Einbaus neuer Gas- und Ölheizungen bekannt gegeben hat, arbeitet sie jetzt an einem Förderprogramm. Laut Bundesfinanzministerium soll es eine Art Abwrackprämie für alte Anlagen geben, deren Höhe vom Zustand der Anlage abhängig sein soll. Im ""Bericht aus Berlin"" nannte Bundeswirtschaftsminister Robert Habeck weitere Möglichkeiten, wie die finanzielle Entlastung gestaltet werden kann. Bildinhalt",Moderation,Jens Riewa,Im ZDF bringt Bundesbauministerin Geywitz eine Abwrackpraemie ins Spiel.,ARD,Zdf bringen Bundesbauministerin Geywitz Abwrackpraemie Spiel,positive,0.9999904632568359
O-Ton,2023-07-14,tagesthemen,"(Empfehlung an die Ampel-Koalition, beiThemen wie dem Wohnungsbau, dem Verkehr, bei Bahnstrecken zu verdeutlichen, dass die Richtungstimme, um dort für eine positive Entwicklung zu sorgen)",Politikwissenschaftlerin Freie Universität Berlin,Sabine Kropp,Scholz zeigt sich in jedem Fall zufrieden mit Scholz.,Expert,Scholz zeigen Fall zufrieden Scholz,negative,0.9816839098930359
O-Ton,2023-06-11,tagesschau,(Heizt seit 18 Jahren mit Holz),Hotelier,Alfons Oswald,"hab immer Energie, auch wenn Krisen sind.",Expert,immer Energie Krise,negative,0.9790778756141663
O-Ton,2023-05-23,tagesthemen,"(zur Frage, warum der Streit nicht hinter den Kulissen ausgetragen wird:Nein, ich glaube, für die Menschen, von denen wir jetzt wir beide jetzt sprechen, die wollen natürlich eineDiskussion, weil es kommt sehr darauf an, was am Ende dabei rauskommt. Ob die jetzt besonders15.11.2023 09:50 Seite 20 von 57 NDR Copyright (c) 2004",warum der Streit nicht hinter den Kulissen ausgetragen wird:,Marie-Agnes Strack-Zimmermann (zur Frage,"Wir muessen sagen, ob etwas nachgebessert wird.",Expert,muessen sagen nachgebessert,negative,0.9762325286865234
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob die Grünen bald nicht mehr mit der FDP regieren wollen:Nein, das glaube ich nicht. Ich glaube, das ist natürlich jetzt so - das räume ich Ihnen auch ein, als Journalist- dass Sie natürlich eine solche Diskussion - hat, ja auch was prickelndes und erfrischendes -je nachdem, wieman darüber berichtet. Entscheidend ist doch das Ergebnis, was dabei hinten rauskommt. Und wir habenzwei Spielfelder. Das eine ist ein Gesetz auf den Weg zu bringen, um ökologisch wirklich in die Vorderhandzu kommen, nämlich eine Heizung auszutauschen, damit wir in den nächsten 25 bis 30 Jahren auch einrichtiges Gesetz gemacht haben. Auf der anderen Seite schauen wir jetzt auf die verschiedenenProtagonisten, die darüber beraten. Und ich glaube, diese beiden Felder sollte man nicht vermischen. Ichglaube, uns allen - der Ampel ist gediehen, dass wir ein Gesetz auf den Weg bringen, was die Menschenakzeptieren, was sie nachvollziehen können. Gefährlich wäre jetzt, innerhalb von vier Wochen etwas auf denWeg zu bringen und dann werden die Fragen beantwortet: Wer bezahlt etwas? Wer wird unterstützt? AlsoSie sehen, da sind noch viele Fragen offen und ich glaube, es tut uns allen gut, wenn wir das mal runterdämmen und uns um die Sache kümmern und in der Sache diskutieren)",ob die Grünen bald nicht mehr mit der FDP regieren wollen:,Marie-Agnes Strack-Zimmermann (zur Frage,Sie als Journalist finden die Diskussion gut.,Expert,Journalist finden Diskussion gut,negative,0.9719681143760681
O-Ton,2023-09-08,tagesthemen,,Autor und Dokumentarfilmer,Stephan Lamby,kann man das Auf und Ab so gut beobachten.,Expert,ab gut beobachten,negative,0.9638271331787109
O-Ton,2023-07-12,tagesthemen,"(In unserer Umfrage steht das Thema leisten, fordern und fördern und einfunktionsfähiger Staat im Mittelpunkt. ""Aber wenn Sie mich fragen: Ich hätte gerne eine Mentalität inDeutschland des Machens - einfach mal machen, dass Menschen, die Idee haben, einfach mal loslaufenkönnen. Und dass wir nicht in Bürokratie und Überregulierung ersticken. Das wäre meine Vision"")",fordern und fördern und ein,Carsten Linnemann (In unserer Umfrage steht das Thema leisten,Danke fuer Ihre Zeit. Ich danke Ihnen.,Expert,danke Fuer Zeit danken,negative,0.9476944208145142
O-Ton,2023-04-01,tagesthemen,"(verweist darauf, dass Wärmepumpen mit Strom laufen - im Ostengibt es noch viel Kohlestrom, der problematisch ist)",Heizungsbaumeister,Konrad Proschmann,"Das ist ein Problem, dass fuer jeden Haushalt",Expert,Problem Dass Fuer Haushalt,negative,0.924282431602478
O-Ton,2023-04-01,tagesthemen,"(verweist darauf, dass Wärmepumpen mit Strom laufen - im Ostengibt es noch viel Kohlestrom, der problematisch ist)",Heizungsbaumeister,Konrad Proschmann,Das ist eine Herausforderung fuer unsere Gesellschaft.,Expert,Herausforderung Fuer Gesellschaft,negative,0.9205167889595032
